Time,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,539.15,569.81,600.91,639.13,678.09,719.98,776.41,826.93,852.86,904.21,943.49,993.25,998.27,"1,105.43","1,118.59","1,125.70","1,213.23","1,248.37","1,326.20","1,360.01","1,459.58","1,646.96","1,866.63",..
Austria,235.38,238.95,251.98,261.07,276.01,288.09,311.41,327.17,343.81,341.38,351.28,373.03,391.64,406.37,417.06,430.98,460.28,476.59,503.36,537.9,522.62,567.99,641.75,668.88
Belgium,284.86,296.22,312.9,320.98,334.14,347.66,371.91,391.02,405.73,407.55,434.01,451.93,469.72,487.34,503.62,520.88,550.68,573.79,600.27,650.52,643.35,719.59,797.6,823.42
Canada,901,937.79,971.01,"1,023.69","1,083.62","1,171.34","1,241.62","1,301.59","1,342.40","1,307.00","1,363.58","1,430.81","1,468.09","1,554.12","1,621.40","1,594.85","1,678.09","1,765.76","1,852.99","1,899.69","1,847.84","2,133.08","2,415.84","2,542.62"
Chile,145.36,153.32,160.69,171.61,187.97,205.18,256.07,278.37,275.75,271.33,307.86,349.15,374.32,392.67,402.9,405.5,424.83,450.89,478.09,492.24,491.48,568.19,616.27,..
Colombia,262.51,272.92,284.12,301.08,325.65,351.67,386.87,424.09,446.42,454.4,480.53,524.6,548.25,585.89,618.79,624.12,665.4,693.12,747.1,807.59,785.74,906.03,"1,092.24",..
Costa Rica,31.92,33.78,35.47,37.74,40.46,43.39,48.01,53.36,56.96,56.82,60.59,64.57,69.07,73.21,79.27,85.24,93.45,100.72,106.58,116.69,111.26,122.15,135.64,..
Czechia,166.52,180.08,186.12,199.18,213.45,225.62,244.95,270.74,290.5,289.93,292,304.4,307.49,324.03,342.1,357.5,381.42,411.33,437.36,478.74,469.88,508.67,551.77,579.6
Denmark,153.04,157.79,164.72,166.15,178.02,185.07,203,213.08,226.77,222.75,238.53,247.35,250.52,262.37,270.33,278.75,297.72,319.13,333.04,353.44,364.63,409.26,460.16,453.16
Estonia,13.16,14.32,16.09,18,19.81,22.54,26.05,29.76,30.49,27.33,28.78,32.6,34.38,36.2,38.05,38.38,41.2,44.56,48.13,52.87,53.24,59.43,64.67,66.34
Finland,138.66,144.25,148.76,151.45,163.13,168.15,181.45,200.16,212.98,202.72,208.9,220.47,221.29,225.68,228.06,232.87,246.93,262.03,273.46,290.27,296.76,320.21,347.81,360.08
France,"1,589.45","1,687.22","1,762.93","1,753.70","1,822.29","1,926.88","2,065.68","2,184.81","2,259.26","2,243.85","2,334.27","2,446.47","2,474.01","2,608.52","2,662.03","2,718.50","2,864.11","2,983.01","3,125.38","3,452.96","3,344.39","3,648.08","3,914.74","4,134.31"
Germany,"2,236.36","2,336.84","2,406.90","2,468.58","2,585.63","2,622.04","2,813.99","2,985.92","3,103.96","3,015.21","3,184.88","3,415.02","3,487.23","3,628.56","3,807.11","3,889.08","4,165.17","4,386.73","4,576.06","4,840.31","4,815.44","5,153.14","5,582.29","5,797.39"
Greece,210.92,227.68,246.56,261.16,278.93,281.03,314.62,324.02,341.82,337.19,310.38,285.08,275.14,284.95,290.01,289.57,296.47,307.64,317.88,338.92,311.2,348.98,405.84,422.52
Hungary,121.05,134.6,147.57,156.8,164.44,172.57,185.15,192.05,208.01,207.69,217.39,229.64,230.82,242.86,253.48,263.78,274.22,288.71,311.93,343.48,341.41,375.23,421.01,436.56
Iceland,8.38,9.09,9.38,9.47,10.4,11.07,12.06,12.92,13.88,13.33,12.65,13.06,13.47,14.38,15.06,16.28,17.94,19.11,20.17,21.82,20.39,22.9,27.44,..
Ireland,114.95,125.95,138.49,145.01,157.66,168.34,189.03,205.8,198.3,188.08,197.01,206.64,212.88,221.01,238.66,325.44,339.58,375.79,413.32,448.73,483.91,574.39,686.13,667.74
Israel,161.81,165.74,171.11,164.97,177.33,177.61,185.77,202.28,204.63,209.39,223.84,242.55,256.31,279.9,285.2,299.86,325.37,342.75,355.91,373.23,378.29,433.32,498.27,528.68
Italy,"1,541.76","1,597.67","1,639.68","1,673.46","1,704.92","1,746.66","1,886.97","1,995.61","2,089.72","2,044.81","2,083.74","2,173.17","2,172.38","2,187.38","2,200.26","2,240.92","2,420.67","2,517.18","2,600.33","2,775.61","2,627.33","2,950.84","3,295.26","3,424.22"
Japan,"3,461.20","3,552.84","3,647.93","3,753.92","3,938.96","4,110.44","4,300.32","4,482.08","4,517.27","4,295.63","4,525.40","4,629.40","4,799.61","5,021.59","5,034.45","5,199.92","5,158.90","5,262.25","5,344.06","5,404.46","5,358.32","5,599.03","5,895.69",..
Korea,871.48,934.35,"1,019.45","1,058.22","1,143.11","1,213.62","1,302.23","1,414.99","1,469.00","1,454.99","1,572.68","1,625.28","1,684.56","1,726.90","1,792.60","1,933.59","2,026.97","2,103.65","2,220.44","2,270.67","2,340.03","2,514.52","2,667.44",..
Latvia,19.04,21.14,23.29,25.31,27.79,31.15,35.18,40.14,42.62,36.46,37.13,39.65,43.31,45.56,47.48,49.38,52.36,55.69,59.51,63.72,64.11,69.31,77.25,79.39
Lithuania,29.56,32.76,36.09,41.22,44.01,48.21,53.9,61.71,66.27,57.3,62.23,69.3,73.81,79.03,82.65,83.76,88.7,95.49,101.91,113.38,115.06,129.99,144.33,148.23
Luxembourg,24.05,24.79,26.14,27.19,29.64,32,37.28,40.86,44.45,43.24,45.8,48.97,51.31,54.84,58.58,61.44,65.98,68.57,70.83,75.27,76.98,88.3,95.65,95.37
Mexico,"1,154.35","1,175.04","1,194.40","1,242.56","1,321.40","1,403.09","1,559.65","1,635.08","1,730.73","1,701.57","1,807.63","1,989.89","2,103.29","2,150.33","2,254.44","2,309.02","2,457.81","2,528.31","2,606.27","2,638.76","2,453.58","2,677.52","3,042.14",..
Netherlands,507.62,532.57,556.29,554.12,583.06,614.04,670.41,719.96,763.41,736.52,748.29,777.88,792.04,827.48,830.32,851.88,890.49,943.74,996.45,"1,059.59","1,065.12","1,186.87","1,319.46","1,390.38"
New Zealand,82.94,87.39,92.03,96.6,102.58,106.15,116.1,123.98,127.06,132.02,135.8,143.37,145.42,161,168.46,172.8,188.31,203.17,208.27,224.88,230.5,246.33,267.11,..
Norway,166.11,170.77,172.71,176.59,195.95,221.76,253.4,264.57,295.98,268.57,284.65,309.37,330.09,342.25,340.77,315.15,310.3,340.84,373.18,379.38,361.02,482.47,678.06,700.82
Poland,408.35,425.43,451.28,469.5,509.89,530.38,577.93,640.68,697.83,734.01,794.61,862.45,897.88,925.13,962.32,"1,018.90","1,069.46","1,137.65","1,216.24","1,347.32","1,376.57","1,527.35","1,716.25","1,789.87"
Portugal,194.26,202.39,212.11,218.09,225.18,238.69,259.72,271.36,281.54,279.62,288.19,282.62,277.99,292.14,298.95,307.23,326.36,340.37,359.2,389.29,369.41,401.86,463.07,507.84
Slovak Republic,61.31,66.64,71.58,76.2,81.8,89.4,101.63,114.09,127.63,124.32,136.93,141.76,145.97,151.68,157.3,163.01,161.5,163.95,170.86,185.13,191.06,205.88,222.77,238.98
Slovenia,35.81,37.76,40.37,42.14,45.46,47.72,51.62,55.65,59.84,56.17,57,59.39,59.75,61.74,63.65,65.27,70.08,75.44,80.82,89.27,88.39,98.03,108.31,115.46
Spain,875.74,937.76,"1,009.75","1,056.70","1,122.17","1,205.13","1,363.89","1,468.83","1,528.58","1,487.85","1,475.43","1,489.59","1,483.65","1,512.56","1,558.99","1,621.83","1,734.12","1,842.77","1,905.45","2,061.66","1,845.71","2,068.30","2,326.11","2,544.51"
Sweden,262.81,266.31,276.02,285.02,304.52,309.21,342.61,374.29,388.68,374.53,395.91,421.52,432.49,444.62,457.51,481.17,500.42,522.48,544.59,588.26,597.29,660.1,714.04,733.04
Switzerland,263.63,273.45,281.96,284.29,296.89,308.83,346.32,384.57,411.51,410.2,425.93,454.91,475.34,498.76,519.3,540.55,563.95,576.36,601.87,632.27,630.57,710.32,796.37,831.81
Türkiye,609.01,595.9,612.45,641.1,735.79,815.1,945.29,"1,043.00","1,139.55","1,112.44","1,268.55","1,454.11","1,550.69","1,703.67","1,860.47","2,022.40","2,116.40","2,264.27","2,303.77","2,350.31","2,391.49","2,662.21","3,259.42",..
United Kingdom,"1,562.41","1,650.36","1,727.03","1,808.37","1,922.94","1,976.70","2,113.50","2,178.38","2,271.08","2,181.12","2,290.20","2,354.77","2,442.46","2,562.20","2,666.66","2,767.23","2,892.30","3,041.89","3,129.65","3,335.88","3,220.30","3,541.78","3,847.92","3,990.98"
United States,"10,250.95","10,581.93","10,929.11","11,456.45","12,217.20","13,039.20","13,815.58","14,474.23","14,769.86","14,478.07","15,048.97","15,599.73","16,253.97","16,880.68","17,608.14","18,295.02","18,804.91","19,612.10","20,656.52","21,521.40","21,322.95","23,594.03","25,744.11",..
Euro area,"8,131.84","8,545.02","8,920.89","9,116.50","9,525.12","9,903.08","10,762.01","11,447.14","11,933.27","11,662.60","12,021.29","12,554.02","12,706.79","13,151.10","13,523.41","13,934.14","14,823.34","15,566.80","16,260.92","17,490.20","16,976.27","18,662.55","20,571.23","21,494.53"
Brazil,"1,581.94","1,640.06","1,716.48","1,770.33","1,922.56","2,046.34","2,193.06","2,389.04","2,558.90","2,572.06","2,798.92","2,970.63","2,998.53","3,133.89","3,187.16","3,014.75","2,939.09","3,017.72","3,146.42","3,241.96","3,176.65",..,..,..
China,"3,683.44","4,080.39","4,522.48","5,074.66","5,737.90","6,592.14","7,660.00","8,986.56","10,042.81","11,057.12","12,380.17","13,844.37","15,124.54","16,185.06","17,121.28","17,796.75","18,712.10","19,887.04","21,739.73","23,446.56","24,284.24","27,519.11","30,199.68","32,775.12"
India,"2,182.19","2,338.99","2,465.81","2,712.12","3,005.57","3,343.22","3,696.92","4,122.65","4,344.05","4,699.35","5,170.61","5,618.38","6,153.16","6,477.52","6,781.02","7,159.80","7,735.00","8,276.93","9,022.94","9,540.39","9,101.32","10,370.92",..,..
Indonesia,"1,096.68","1,162.25","1,233.47","1,317.94","1,421.40","1,549.43","1,685.10","1,840.45","1,988.55","2,051.98","2,057.21","2,229.51","2,413.44","2,535.04","2,622.25","2,647.71","2,744.90","2,894.13","3,117.05","3,332.23","3,305.99","3,582.45","4,038.17","4,378.31"
Russia,"1,073.59","1,153.00","1,253.12","1,437.84","1,582.51","1,822.44","2,291.24","2,553.61","3,091.46","2,973.73","3,143.87","3,259.32","3,480.30","3,741.78","3,763.54","3,526.23","3,538.98","3,807.10","4,231.84","4,398.12","4,367.29",..,..,..
South Africa,381.72,400.86,422.18,443.2,475.83,516.65,562.43,608.6,640.06,634.26,661.39,696.53,698.22,730.52,741.92,758.9,772.77,790.17,821.76,838.68,798.96,874.12,953.54,..