#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,8.2,7.1,7,6.1,5.9,5.7,5.8,5.3,5,5.7,5.2,5.3,5,4.8,4.7,4.9,4.7,4.1,4.1,4.2,4.1,3.8,3.3,3.6,3.4,3.2,3.1,3.3,3.1,..
Austria,7.8,7.5,7.5,6.5,6.3,5.4,5.1,4.7,4.9,4.4,4.8,4.8,4.1,4.5,4.5,4.2,3.6,3.7,3.7,3.8,3.9,3.6,3.2,3.1,3,3.1,3.1,2.9,2.7,..
Belgium,8,8.3,8.2,8,7.6,6,5,5.4,5.2,4.9,4.8,4.5,4.4,4.1,3.9,3.7,4,3.9,3.8,3.5,3.6,3.4,3.8,3.5,3.4,3.3,3.2,3.6,3.8,..
Canada,6.8,6.4,6.3,6.8,6.3,6.1,5.6,5.5,5.3,5.3,5.3,5.2,5.4,5.3,5.3,5.4,5,5.1,5.1,4.9,5,4.9,4.8,5,4.7,4.5,4.5,4.5,4.7,..
Chile,16,14.6,14.3,13.1,12,11.1,11.1,10,10.3,10.1,8.9,8.3,7.8,7.8,8.4,7.9,7.6,8.3,7.8,7.9,7.4,7.7,7.4,7,7.2,6.9,7,7.1,6.6,..
Colombia,38.4,36.1,34.1,32.5,31.4,30.3,29.1,28.1,27,26,25,24,23,22.1,21.3,20.4,20,19.6,19.2,18.8,18.4,17.8,17.5,17.2,17.2,17.1,16.8,..,..,..
Costa Rica,14.2,13.7,13.3,12.9,12.7,12.6,12.6,12.6,12.3,11.8,11.1,10.4,9.9,10.1,9.3,9.8,9.7,10.1,9,8.8,9.5,9.1,8.5,8.7,8.1,7.7,7.9,7.9,..,..
Czechia,10.8,10.4,9.9,8.5,7.9,7.7,6,5.9,5.2,4.6,4.1,4,4.1,3.9,3.7,3.4,3.3,3.1,2.8,2.9,2.7,2.7,2.6,2.5,2.4,2.5,2.8,2.7,2.6,..
Denmark,7.5,7.3,6.6,5.4,5.5,5.1,5.6,5.2,4.7,4.2,5.3,4.9,4.4,4.4,4.4,4.4,3.5,4,4,3.1,3.4,3.5,3.4,3.5,4,3.7,3.1,3.8,3.7,..
Estonia,12.3,13.3,15.7,15.6,14.4,14.9,10.5,10,9.4,9.6,8.4,8.8,5.7,7,6.4,5.4,4.4,5,5,3.6,3.3,2.5,3.6,2.1,2.7,2.5,2.3,2.3,1.6,..
Finland,5.6,5.8,5.2,4.4,4.7,3.9,4,3.9,4.2,3.6,3.8,3.2,3,3.1,3.3,3,2.8,2.7,2.6,2.6,2.3,2.4,2.4,1.8,2.2,1.7,1.9,2,2.1,..
France,7.3,7.3,6.8,6.5,5.9,4.9,5,4.9,4.8,4.4,4.5,4.6,4.2,4.2,4,3.8,3.8,3.8,3.8,3.9,3.6,3.5,3.5,3.6,3.5,3.7,3.7,3.9,3.8,3.8
Germany,7,6.9,6.2,5.8,5.6,5.3,5,4.9,4.7,4.5,4.4,4.3,4.2,4.2,4.1,3.9,3.8,3.9,3.5,3.5,3.4,3.6,3.3,3.3,3.2,3.3,3.4,3.3,3.2,..
Greece,9.7,9,8.4,8.5,7.9,8.1,7.2,6.4,6.7,6.2,5.9,5.1,5.1,4,4.1,3.8,3.7,3.5,2.7,3.1,3.8,3.4,2.9,3.7,3.7,4,4.2,3.5,3.5,..
Hungary,14.8,15.6,14.1,12.5,11.5,10.7,10.9,9.9,9.7,8.4,9.2,8.1,7.2,7.3,6.6,6.2,5.7,5.9,5.6,5.1,5.3,4.9,4.9,5,4.5,4.2,3.9,3.5,3.3,..
Iceland,5.9,5.5,4.8,4.8,3.4,6.1,3.7,5.5,2.6,2.4,3,2.7,2.2,2.4,2.8,2.3,1.4,2,2.5,1.8,2.2,0.9,1.1,1.8,2.1,2.2,0.7,2.7,1.7,..
Ireland,8.2,7.6,6.5,6.1,5.7,6.4,6,6.1,5.9,5.9,6.2,5.7,5,5.3,4.6,3.8,3.9,3.2,3.4,3.3,3.6,3.5,3.5,3.6,3.3,3.4,3,3,2.9,..
Israel,9.9,9.2,9.4,7.8,7.5,6.8,6.3,6.4,5.9,5.8,5.5,5.1,5.4,4.9,4.6,4.4,4,3.9,3.8,3.8,3.7,3.5,3.6,3.1,3.1,3.1,3.1,3.1,3,..
Italy,8.1,8,7.8,7,6.4,6.1,6,5.5,5.1,4.9,4.3,4.4,4.1,3.8,3.4,3.3,3.2,3.1,3.1,3.2,3,2.9,2.9,2.9,2.8,2.9,2.8,2.7,2.8,..
Japan,4.6,4.4,4.5,4.3,4.2,4.3,3.8,3.7,3.6,3.4,3.2,3.1,3,3,2.8,2.8,2.6,2.6,2.6,2.4,2.3,2.3,2.2,2.1,2.1,1.9,2,1.9,1.9,..
Korea,..,10,..,9.9,..,..,7.7,..,..,6.2,..,..,5.3,..,..,4.7,4.1,3.5,3.4,3.2,3.2,3,2.9,3,3,2.7,2.8,2.8,2.8,..
Latvia,13.7,15.7,17.6,16.2,15.7,18.8,15.9,15.3,15,11.3,10.3,11,9.8,9.4,9.3,7.7,7.4,8.5,6.6,7.6,5.6,6.6,6.3,4.4,3.8,4.1,3.7,4.1,3.2,..
Lithuania,10.2,14.4,16.3,15.7,14.2,12.5,10.1,10.3,9.3,8.7,8.6,8,8.1,6.9,8.1,7.1,7.2,6.3,5.5,5.6,5,4.8,3.9,3.7,3.9,4.2,4.5,3,3.4,..
Luxembourg,7.3,9.2,8.5,6,5.3,5.5,4.9,4.2,5,4.7,5.1,5.9,5.1,4.9,3.9,2.6,2.5,1.8,1.8,2.5,3.4,4.3,2.5,3.9,2.8,2.8,3.8,3.2,4.3,..
Mexico,34.9,31,29.8,28.8,27.9,27.2,26.4,25.5,24.6,23.6,22.6,21.5,20.4,19.5,18.8,18.3,17.8,17.3,16.9,16.5,16.2,15.3,14.8,14.4,13.6,13.6,13.4,13.5,12.9,..
Netherlands,7.1,6.5,6.3,6.3,5.6,5.5,5.7,5,5.2,5.2,5.1,5.4,5,4.8,4.4,4.9,4.4,4.1,3.8,3.8,3.8,3.6,3.7,3.8,3.6,3.3,3.5,3.6,3.5,..
New Zealand,8.4,8.4,7.3,7.3,7.2,6.7,7.3,6.8,5.4,5.8,6.3,5.6,6.2,5.4,5.9,5,5.1,4.8,5,5.2,5.5,5.2,4.7,5,5.7,4.3,4.2,..,..,..
Norway,6.9,6,5.8,5.3,5.3,4.2,4.1,4.2,4.2,4.1,3.9,3.8,3.3,3.6,3.2,2.8,3.3,3.1,3,3.2,2.5,2.4,2.6,2.4,2.5,2.2,2.2,2.2,2.3,..
Poland,19.4,18.2,17.5,16.2,15.1,13.6,12.2,10.2,9.5,8.9,8.1,7.7,7.5,7,6.8,6.4,6,6,5.6,5.6,5,4.7,4.6,4.6,4.2,4,4,4,3.8,..
Portugal,10.9,10.8,9.2,8.6,7.9,7.4,6.8,6.4,6,5.6,5.5,5,5,4.1,3.8,3.5,3.3,3.4,3.3,3.6,2.5,3.1,3.4,2.9,2.9,2.9,3.2,2.7,3.3,..
Slovak Republic,12,13.2,12.6,10.6,11.2,11,10.2,8.7,8.8,8.3,8.6,6.2,7.6,7.9,6.8,7.2,6.6,6.1,5.9,5.7,5.7,4.9,5.8,5.5,5.8,5.1,5.4,4.5,5,5.1
Slovenia,8.4,8.2,8.9,6.8,6.5,5.5,4.7,5.2,5.2,4.5,4.9,4.2,3.8,4,3.7,4.1,3.4,2.8,2.4,2.4,2.5,2.9,1.6,2.9,1.8,1.6,2,2.1,1.7,..
Spain,7.6,7.2,7.1,6.7,6,5.5,5.5,5,4.9,4.5,4.4,4,4.1,3.9,3.9,3.7,3.5,3.4,3.3,3.2,3.2,3.1,3.1,2.7,2.8,2.7,2.7,2.7,2.7,..
Sweden,6,6.2,5.3,4.8,4.4,4.1,4,3.6,3.5,3.4,3.4,3.7,3.3,3.1,3.1,2.4,2.8,2.5,2.5,2.5,2.5,2.1,2.6,2.7,2.2,2.5,2.5,2.4,2,..
Switzerland,6.8,6.2,6.4,5.6,5.1,5.1,4.7,4.8,4.8,4.6,4.9,5,4.5,4.3,4.2,4.2,4.4,3.9,4,4.3,3.8,3.8,3.6,3.9,3.9,3.9,3.6,3.5,3.3,..
Türkiye,..,..,..,52.6,..,..,40.9,38.8,42.7,33.9,28.4,28.6,29.6,29,27.4,25.8,24.5,16.5,17,13.9,12,11.6,9.5,10.1,10.2,10,9.7,9,9.2,..
United Kingdom,7.9,7.4,6.6,6.3,6.2,6.2,6.1,5.8,5.7,5.8,5.6,5.5,5.2,5.3,5,5.1,4.9,4.7,4.6,4.5,4.2,4.2,4,3.9,3.9,3.9,3.8,3.9,3.9,..
United States,9.2,8.9,8.5,8.4,8,7.6,7.3,7.2,7.2,7.1,6.9,6.8,7,6.8,6.8,6.9,6.7,6.8,6.6,6.4,6.1,6.1,6,6,5.8,5.9,5.9,5.8,..,..
  Brazil,52.5,50.4,48.2,45.8,43.4,41,38.7,36.5,34.4,32.3,30.4,28.6,26.8,25.2,23.6,22.1,20.7,19.5,18.4,17.5,16.7,16,15.4,14.9,14.5,14,14.6,13.2,12.8,..
  China,42.1,41.7,41,40.1,38.9,37.7,36.3,34.9,33.5,31.9,30.1,28.2,26.2,24.1,22.2,20.3,18.7,17.2,15.8,14.6,13.6,12.6,11.6,10.8,10,9.2,8.5,7.9,7.4,..
  India,88.6,86.3,84.2,82.1,80.1,78,75.8,73.5,71.2,68.9,66.6,64.3,62.1,59.9,57.8,55.7,53.6,51.5,49.4,47.3,45.1,43,40.9,38.9,36.9,35,33.2,31.5,29.9,..
  Indonesia,61.9,59.5,57.2,54.9,52.7,50.5,48.5,46.5,44.6,42.8,41.1,39.5,38,36.5,36.3,33.8,32.5,31.3,30.2,29.2,28.1,27.1,26.2,25.3,24.3,23.5,22.6,21.9,21.1,..
  Russia,17.4,17.8,18,19.9,18.6,18.1,17.4,17.2,16.5,16.9,15.3,14.6,13.3,12.4,11.6,11,10.2,9.4,8.5,8.1,7.5,7.4,8.6,8.2,7.4,6.5,6,5.6,5.1,..
  South Africa,45.8,44.7,44.1,44,44.4,45.2,45.9,46.8,47.8,48.4,49,49.4,50,50.9,50.8,49.7,48.1,45.5,42.9,40.3,38.2,36.6,35.3,34.1,32.9,31.4,30.7,29.6,28.5,..