#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18
Austria,60,112,112,112,112,112,112,86,86,86,86,86,86,86,86,86,86,86,73,73,60,60,60,60,60,60,60,60,60,60,60,60,60
Belgium,14,15,15,15,15,15,15,15,28,28,28,28,28,28,28,28,28,28,28,28,28,28,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3
Canada,17,27,27,27,27,27,27,27,27,27,27,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,51,51,51,51,51,51
Chile,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,30,30,30,30,30,30,30,30,30,30,30
Colombia,..,..,..,..,..,..,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,18,18,18,18,18,18
Costa Rica,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3
Czechia,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,110,110,110,110,110,110,110,110,110,110,63.4,62.3,74.5,73.8,68.6
Denmark,28,28,54,54,54,54,54,54,54,54,54,54,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,166,166,166,166,166,166,166,166,82,82,82.1
Finland,159,161,161,161,161,161,161,161,161,161,161,161,161,159,159,159,159,159,159,159,159,159,159,161,161,161,161,161,161,161,161,161,161
France,16,16,16,16,16,16,16,16,16,16,16,16,16,16,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
Germany,70,83.3,83.3,109.3,109.3,109.3,109.3,109.3,109.3,109.3,109.3,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
Greece,15,15,15,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,43,43,43,43,43,43,43,43,43,43,43,43,43,43,51.7
Hungary,162,162,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
Iceland,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,32,32
Ireland,14,14,14,14,14,14,14,14,14,14,14,18,18,18,18,18,22,26,26,26,26,26,26,26,26,26,26,26,26,26,28,31,31
Israel,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,14,14,15,15,15,15,15,15
Italy,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7
Japan,14,14,14,14,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
Korea,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,58.4,58.4,58.4,58.4,58.4,58.4,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9
Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94,94,94,94,94,94,94,94,94
Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62,62,62,62,62,62,62,62,62
Luxembourg,16,16,16,16,16,16,16,16,16,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,46,46,46,46,46
Mexico,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Netherlands,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,42,42,42,42,42,42,16,16,16,16,16,16,16,16
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,13,13,14,14,14,14,14,14,14,14,16,18,18,18,22,22,26,26
Norway,28,28,35,38,38,38,38,38,38,90,90,90,90,90,90,90,90,90,90,88,88,87,87,87,87,91,91,91,91,86,86,86,86
Poland,16,16,16,16,16,16,16,16,16,16,20,26,16,16,16,16,16,18,18,20,22,22,24,52,52,52,52,52,52,52,52,52,52
Portugal,12.9,12.9,12.9,12.9,12.9,14,14,14,14,15.7,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1
Slovak Republic,162,162,162,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,170,170,170,170,170,164,164,164,164,164,164,164
Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1
Spain,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Sweden,63,63,63,63,63,58.7,58.7,58.7,58.7,58.7,58.7,58.7,60,60,60,60,60,60,60,60,60,60,60,60,60,60,55.7,55.7,55.7,55.7,55.7,55.7,55.7
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Türkiye,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
United Kingdom,18,18,18,18,18,18,18,18,18,18,18,18,18,26,26,26,26,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0